AMMO2,HEALTH,ARMOR,VELOCITY_X,VELOCITY_Y,VELOCITY_Z,KILLCOUNT,DAMAGE_TAKEN,ANGLE,height_1,width_1,lx_1,ly_1,enemie_present_1,height_2,width_2,lx_2,ly_2,enemie_present_2,MOVE_LEFT ,MOVE_RIGHT ,ATTACK ,MOVE_FORWARD,MOVE_BACKWARD,TURN_LEFT,TURN_RIGHT
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,0.7080078125,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,67,23,86,91,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.349639892578125,0.0,0.0,0.0,0.0,0.0,67,26,211,93,True,67,24,85,91,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.9311065673828125,0.0,0.0,0.0,0.0,0.0,68,26,212,92,True,68,24,84,91,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,2.45806884765625,0.0,0.0,0.0,0.0,0.0,69,26,213,92,True,70,24,83,90,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,2.9356231689453125,0.0,0.0,0.0,0.0,0.0,70,27,214,91,True,71,25,81,89,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,3.368408203125,0.0,0.0,0.0,0.0,0.0,73,28,215,89,True,73,26,79,88,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,3.7606201171875,0.0,0.0,0.0,0.0,0.0,75,28,217,88,True,75,26,77,87,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.6745452880859375,-1.8896026611328125,0.0,0.0,36.0,0.0,77,29,219,89,True,77,29,73,87,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.6113128662109375,-1.71246337890625,0.0,0.0,36.0,0.0,77,29,216,89,True,77,29,71,88,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.55401611328125,-1.5519256591796875,0.0,0.0,36.0,0.0,76,29,215,90,True,76,29,69,89,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.5020904541015625,-1.40643310546875,0.0,0.0,36.0,0.0,76,29,213,91,True,76,29,68,89,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.4550323486328125,-1.2745819091796875,0.0,0.0,36.0,0.0,76,29,211,91,True,75,28,67,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.412384033203125,-1.15509033203125,0.0,0.0,36.0,1.7578125004092726,77,29,215,91,True,75,28,72,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.3737335205078125,-1.04681396484375,0.0,0.0,36.0,3.5156250008185452,78,30,219,91,True,73,27,77,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.3386993408203125,-0.9486846923828125,0.0,0.0,36.0,5.273437501227818,78,29,224,91,True,72,27,82,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.3069610595703125,-0.8597564697265625,0.0,0.0,36.0,7.0312500016370905,79,30,229,91,True,71,27,87,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.2781982421875,-0.7791595458984375,0.0,0.0,36.0,8.789062502046363,80,31,233,91,True,70,26,92,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.2521209716796875,-0.70611572265625,0.0,0.0,36.0,12.304687502864908,83,45,235,90,True,69,24,104,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.228485107421875,-0.639923095703125,0.0,0.0,36.0,15.820312503683454,86,46,247,90,True,66,23,115,92,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.2070770263671875,-0.5799407958984375,0.0,0.0,36.0,19.335937504502,90,48,260,89,True,66,23,124,92,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-0.1876678466796875,-0.52557373046875,0.0,0.0,36.0,22.851562505320544,95,44,275,88,True,65,23,134,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.170074462890625,-0.4763031005859375,0.0,0.0,36.0,22.851562505320544,94,34,285,88,True,65,22,134,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.154144287109375,-0.4316558837890625,0.0,0.0,36.0,22.851562505320544,94,35,284,88,True,65,23,133,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.1396942138671875,-0.3911895751953125,0.0,0.0,36.0,22.851562505320544,94,36,283,88,True,64,23,133,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.1214447021484375,0.0,0.0,0.0,36.0,22.851562505320544,94,36,283,88,True,64,23,133,92,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.1100616455078125,0.0,0.0,0.0,36.0,22.851562505320544,94,36,283,88,True,64,23,133,92,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.0997467041015625,0.0,0.0,0.0,36.0,22.851562505320544,94,36,283,88,True,64,23,133,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.0904083251953125,0.0,0.0,0.0,36.0,22.851562505320544,94,36,283,88,True,63,33,126,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,-0.081939697265625,0.0,0.0,0.0,36.0,22.851562505320544,93,35,283,88,True,63,33,126,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,64.0,0.0,-0.0742645263671875,0.0,0.0,1.0,36.0,22.851562505320544,93,35,283,88,True,69,31,127,87,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,64.0,0.0,-0.0673065185546875,0.0,0.0,1.0,36.0,22.851562505320544,93,35,283,88,True,69,31,127,87,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-2.1963348388671875,0.7074127197265625,0.0,1.0,54.0,21.09375000491127,72,115,152,135,True,90,34,274,89,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.9904327392578125,0.641082763671875,0.0,1.0,54.0,19.335937504502,87,130,152,120,True,87,33,266,89,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.8038330078125,0.5809783935546875,0.0,1.0,54.0,17.578125004092726,89,117,158,118,True,84,32,259,90,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.634735107421875,0.5265045166015625,0.0,1.0,54.0,15.820312503683454,81,107,162,126,True,81,31,252,90,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.4814910888671875,0.477142333984375,0.0,1.0,54.0,14.062500003274181,65,98,164,142,True,78,29,246,91,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.3426055908203125,0.432403564453125,0.0,1.0,54.0,10.546875002455636,75,28,233,91,True,58,32,97,96,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.2167510986328125,0.3918609619140625,0.0,1.0,54.0,7.0312500016370905,72,27,221,92,True,58,32,87,96,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-1.102691650390625,0.3551177978515625,0.0,1.0,54.0,3.5156250008185452,70,26,210,92,True,44,39,73,111,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.99932861328125,0.3218231201171875,0.0,1.0,54.0,0.0,44,40,61,112,True,67,26,200,93,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.9056549072265625,0.2916412353515625,0.0,1.0,54.0,356.4843750830005,45,41,49,112,True,65,25,190,93,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.8207550048828125,0.2642974853515625,0.0,1.0,54.0,352.96875008218194,47,42,36,112,True,64,24,180,93,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.7438201904296875,0.2395172119140625,0.0,1.0,54.0,349.4531250813634,49,43,22,112,True,64,24,170,93,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.6740875244140625,0.2170562744140625,0.0,1.0,54.0,345.93750008054485,44,48,5,119,True,63,24,160,93,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.61090087890625,0.1967010498046875,0.0,1.0,54.0,342.4218750797263,46,38,0,120,True,63,24,150,93,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.5536346435546875,0.178253173828125,0.0,1.0,54.0,338.90625007890776,62,23,141,93,True,49,21,0,121,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.501739501953125,0.161529541015625,0.0,1.0,54.0,335.3906250780892,63,23,131,93,True,21,2,0,122,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,46.0,0.0,-0.4547119140625,0.1463775634765625,0.0,1.0,54.0,331.87500007727067,63,34,113,93,True,1,4,70,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51.0,46.0,0.0,-0.4120941162109375,0.1326446533203125,0.0,1.0,54.0,331.87500007727067,63,34,113,93,True,1,4,70,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51.0,46.0,0.0,-0.37347412109375,0.120208740234375,0.0,1.0,54.0,331.87500007727067,63,34,113,93,True,2,3,71,107,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,46.0,0.0,-0.338470458984375,0.1089324951171875,0.0,1.0,54.0,331.87500007727067,62,34,113,93,True,2,3,71,107,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,46.0,0.0,-0.3067474365234375,0.0987091064453125,0.0,1.0,54.0,331.87500007727067,62,23,121,93,True,8,7,156,112,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,46.0,0.0,-0.2779998779296875,0.089447021484375,0.0,1.0,54.0,331.87500007727067,62,23,121,93,True,7,7,156,111,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,46.0,0.0,-0.2519378662109375,0.0810546875,0.0,1.0,54.0,331.87500007727067,62,23,121,93,True,7,7,156,110,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,46.0,0.0,-0.22833251953125,0.073455810546875,0.0,1.0,54.0,331.87500007727067,62,23,121,93,True,7,7,156,109,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,46.0,0.0,-0.206939697265625,0.066558837890625,0.0,1.0,54.0,331.87500007727067,62,23,121,93,True,8,8,154,107,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
