AMMO2,HEALTH,ARMOR,VELOCITY_X,VELOCITY_Y,VELOCITY_Z,KILLCOUNT,DAMAGE_TAKEN,ANGLE,height_1,width_1,lx_1,ly_1,enemie_present_1,height_2,width_2,lx_2,ly_2,enemie_present_2,MOVE_LEFT ,MOVE_RIGHT ,ATTACK ,MOVE_FORWARD,MOVE_BACKWARD,TURN_LEFT,TURN_RIGHT
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,65,30,81,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7578125004092726,67,25,217,93,True,65,23,92,92,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5156250008185452,68,26,223,92,True,64,22,98,92,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-4.1782379150390625,-1.66766357421875,0.0,0.0,36.0,5.273437501227818,60,105,51,147,True,62,82,0,145,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-3.786529541015625,-1.511322021484375,0.0,0.0,36.0,7.0312500016370905,79,106,61,128,True,79,73,28,127,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-3.431549072265625,-1.3696441650390625,0.0,0.0,36.0,8.789062502046363,83,88,76,124,True,80,60,49,123,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-3.1098480224609375,-1.241241455078125,0.0,0.0,36.0,12.304687502864908,79,76,92,128,True,68,52,70,127,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,-2.8183135986328125,-1.1248779296875,0.0,0.0,36.0,15.820312503683454,70,67,107,137,True,61,45,88,135,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,0.0,-0.479095458984375,0.0,0.0,36.0,19.335937504502,55,64,116,152,True,57,43,98,149,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,64.0,0.0,0.0,-0.4341888427734375,0.0,0.0,36.0,22.851562505320544,76,29,282,91,True,33,63,125,174,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,64.0,0.0,0.0,-0.39349365234375,0.0,0.0,36.0,22.851562505320544,76,28,282,91,True,56,21,152,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
