AMMO2,HEALTH,ARMOR,VELOCITY_X,VELOCITY_Y,VELOCITY_Z,KILLCOUNT,DAMAGE_TAKEN,ANGLE,height_1,width_1,lx_1,ly_1,enemie_present_1,height_2,width_2,lx_2,ly_2,enemie_present_2,MOVE_LEFT ,MOVE_RIGHT ,ATTACK ,MOVE_FORWARD,MOVE_BACKWARD,TURN_LEFT,TURN_RIGHT
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,65,30,81,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,66,23,87,92,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.6796875,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,0.7080078125,1.295654296875,0.0,0.0,0.0,0.0,66,25,214,93,True,66,23,88,92,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.349639892578125,1.8538665771484375,0.0,0.0,0.0,0.0,67,25,217,93,True,67,23,90,91,True,1.0,0.0,1.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.9311065673828125,2.3597412109375,0.0,0.0,0.0,0.0,68,26,220,92,True,68,24,91,91,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,58.0,0.0,-3.202423095703125,1.07989501953125,0.0,0.0,42.0,0.0,78,120,198,129,True,69,26,224,91,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,58.0,0.0,-2.9022064208984375,0.9786529541015625,0.0,0.0,42.0,0.0,94,116,200,113,True,67,26,94,90,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-3.3073883056640625,1.2086029052734375,0.0,0.0,48.0,0.0,95,100,202,112,True,67,25,223,91,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-2.9973297119140625,1.0952911376953125,0.0,0.0,48.0,0.0,87,87,204,120,True,39,53,19,168,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-2.716339111328125,0.9925994873046875,0.0,0.0,48.0,0.0,74,78,206,133,True,36,43,246,171,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-2.4616851806640625,0.8995361328125,0.0,0.0,48.0,0.0,57,71,207,150,True,62,24,222,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-0.4799652099609375,0.0,0.0,0.0,48.0,0.0,62,24,104,92,True,62,23,222,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,52.0,0.0,-0.4349822998046875,0.0,0.0,0.0,48.0,0.0,62,24,104,92,True,62,23,222,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
