AMMO2,HEALTH,ARMOR,VELOCITY_X,VELOCITY_Y,VELOCITY_Z,KILLCOUNT,DAMAGE_TAKEN,ANGLE,height_1,width_1,lx_1,ly_1,enemie_present_1,height_2,width_2,lx_2,ly_2,enemie_present_2,MOVE_LEFT ,MOVE_RIGHT ,ATTACK ,MOVE_FORWARD,MOVE_BACKWARD,TURN_LEFT,TURN_RIGHT
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,65,30,81,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,34,204,93,True,65,30,81,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,30,81,93,True,66,25,212,93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,25,212,93,True,66,23,87,92,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,0.7080078125,0.0,0.0,0.0,0.0,0.0,66,25,211,93,True,67,23,86,91,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.349639892578125,0.0,0.0,0.0,0.0,0.0,67,26,211,92,True,67,24,85,91,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,1.9311065673828125,0.0,0.0,0.0,0.0,0.0,68,26,212,92,True,69,24,84,90,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,2.45806884765625,0.0,0.0,0.0,0.0,0.0,69,26,213,91,True,69,24,83,90,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,2.9356231689453125,0.0,0.0,0.0,0.0,0.0,71,27,214,90,True,71,25,81,89,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,100.0,0.0,3.368408203125,0.0,0.0,0.0,0.0,0.0,73,28,215,90,True,72,26,79,89,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,100.0,0.0,3.0526123046875,0.0,0.0,0.0,0.0,0.0,75,28,217,90,True,74,26,78,89,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,2.08477783203125,-0.3123321533203125,0.0,0.0,6.0,1.7578125004092726,78,29,224,90,True,75,28,80,89,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.8893280029296875,-0.2830657958984375,0.0,0.0,6.0,3.5156250008185452,79,30,232,91,True,75,28,84,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.712188720703125,-0.25653076171875,0.0,0.0,6.0,5.273437501227818,83,32,238,90,True,76,29,88,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.551666259765625,-0.23248291015625,0.0,0.0,6.0,7.0312500016370905,85,33,245,90,True,76,29,92,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.40618896484375,-0.210693359375,0.0,0.0,6.0,8.789062502046363,88,34,252,90,True,76,28,97,90,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.27435302734375,-0.190948486328125,0.0,0.0,6.0,12.304687502864908,93,36,267,89,True,74,28,107,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.154876708984375,-0.1730499267578125,0.0,0.0,6.0,15.820312503683454,99,35,284,88,True,74,28,116,91,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,94.0,0.0,1.046600341796875,-0.156829833984375,0.0,0.0,6.0,19.335937504502,75,29,125,90,True,102,17,302,91,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.9484710693359375,-0.1421356201171875,0.0,0.0,6.0,19.335937504502,75,28,125,90,True,103,17,302,90,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.8595428466796875,-0.128814697265625,0.0,0.0,6.0,19.335937504502,106,29,290,88,True,75,28,124,90,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.7789459228515625,-0.1167449951171875,0.0,0.0,6.0,19.335937504502,107,29,290,88,True,75,26,126,90,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.7059173583984375,-0.105804443359375,0.0,0.0,6.0,19.335937504502,107,29,290,88,True,76,26,125,90,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.6397247314453125,-0.09588623046875,0.0,0.0,6.0,19.335937504502,106,28,291,90,True,76,27,124,90,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.579742431640625,-0.0868988037109375,0.0,0.0,6.0,19.335937504502,76,27,124,90,True,97,15,304,97,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52.0,94.0,0.0,0.525390625,-0.078765869140625,0.0,0.0,6.0,19.335937504502,77,27,123,89,True,98,14,305,97,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,94.0,0.0,0.47613525390625,-0.0713958740234375,0.0,1.0,6.0,19.335937504502,82,37,115,84,True,98,14,305,97,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,94.0,0.0,0.431488037109375,-0.0647125244140625,0.0,1.0,6.0,19.335937504502,81,37,115,84,True,99,14,305,97,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,94.0,0.0,0.391021728515625,-0.05865478515625,0.0,1.0,6.0,19.335937504502,81,36,115,84,True,97,13,306,99,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,94.0,0.0,0.3543548583984375,-0.05316162109375,0.0,1.0,6.0,17.578125004092726,71,39,108,94,True,110,23,296,86,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,94.0,0.0,0.3211212158203125,-0.048187255859375,0.0,1.0,6.0,15.820312503683454,107,31,288,86,True,71,39,103,94,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,94.0,0.0,0.291015625,-0.043670654296875,0.0,1.0,6.0,14.062500003274181,104,39,280,87,True,71,38,98,94,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,94.0,0.0,0.26373291015625,-0.039581298828125,0.0,1.0,6.0,12.304687502864908,102,39,272,87,True,71,39,92,94,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,94.0,0.0,0.2389984130859375,-0.0358734130859375,0.0,1.0,6.0,10.546875002455636,100,38,264,87,True,71,39,86,94,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-3.1239013671875,1.6688690185546875,0.0,1.0,36.0,7.0312500016370905,96,36,249,88,True,54,48,70,113,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-2.8310394287109375,1.5124053955078125,0.0,1.0,36.0,3.5156250008185452,90,35,236,89,True,54,48,62,113,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-2.565643310546875,1.37060546875,0.0,1.0,36.0,0.0,84,32,225,90,True,54,48,53,113,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-2.3251190185546875,1.2421112060546875,0.0,1.0,36.0,356.4843750830005,55,48,44,113,True,81,30,214,90,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-2.107147216796875,1.1256561279296875,0.0,1.0,36.0,352.96875008218194,55,49,33,114,True,77,29,203,91,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.90960693359375,1.020111083984375,0.0,1.0,36.0,349.4531250813634,49,53,20,121,True,75,28,193,91,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.7305908203125,0.924468994140625,0.0,1.0,36.0,345.93750008054485,50,56,6,122,True,72,27,183,92,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.568359375,0.837799072265625,0.0,1.0,36.0,342.4218750797263,52,48,0,122,True,70,26,173,92,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.42132568359375,0.759246826171875,0.0,1.0,36.0,338.90625007890776,54,34,0,123,True,69,26,164,92,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.2880859375,0.6880645751953125,0.0,1.0,36.0,335.3906250780892,68,25,155,92,True,57,18,0,124,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,64.0,0.0,-1.167327880859375,0.6235504150390625,0.0,1.0,36.0,331.87500007727067,67,25,145,93,True,10,8,14,167,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,-1.057891845703125,0.5650787353515625,0.0,2.0,36.0,328.3593750764521,68,38,128,84,True,13,10,153,111,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,-0.9587249755859375,0.5121002197265625,0.0,2.0,36.0,324.8437500756336,49,37,118,102,True,14,9,144,109,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.8688507080078125,0.464080810546875,0.0,2.0,36.0,324.8437500756336,49,36,119,102,True,14,9,144,109,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.7873992919921875,0.420562744140625,0.0,2.0,36.0,324.8437500756336,48,36,119,102,True,14,9,144,110,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.713592529296875,0.381134033203125,0.0,2.0,36.0,324.8437500756336,48,35,119,102,True,13,9,144,113,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.646697998046875,0.34539794921875,0.0,2.0,36.0,324.8437500756336,47,35,119,102,True,13,9,144,117,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.5860748291015625,0.3130035400390625,0.0,2.0,36.0,324.8437500756336,38,40,117,111,True,13,9,144,122,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.5311431884765625,0.2836456298828125,0.0,2.0,36.0,324.8437500756336,37,40,117,111,True,12,6,133,114,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.481353759765625,0.257049560546875,0.0,2.0,36.0,324.8437500756336,37,40,117,111,True,12,5,133,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.4362335205078125,0.232940673828125,0.0,2.0,36.0,324.8437500756336,37,40,117,111,True,13,6,132,103,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.3953399658203125,0.211090087890625,0.0,2.0,36.0,324.8437500756336,37,40,117,111,True,12,6,132,100,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,-0.3582916259765625,0.1912994384765625,0.0,2.0,36.0,324.8437500756336,28,43,115,119,True,12,5,132,98,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.32470703125,0.1733551025390625,0.0,2.0,36.0,326.60156257604285,28,42,121,119,True,13,5,137,96,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.2942657470703125,0.1570892333984375,0.0,2.0,36.0,328.3593750764521,28,42,126,119,True,13,6,141,96,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.266693115234375,0.1423492431640625,0.0,2.0,36.0,330.1171875768614,28,42,131,119,True,17,15,0,146,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.24169921875,0.128997802734375,0.0,2.0,36.0,331.87500007727067,28,42,136,118,True,16,24,0,145,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.2190399169921875,0.1168975830078125,0.0,2.0,36.0,333.63281257767994,19,43,140,127,True,30,27,0,136,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.198516845703125,0.105926513671875,0.0,2.0,36.0,337.1484375784985,28,44,0,134,True,19,43,150,127,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.1799163818359375,0.0959930419921875,0.0,2.0,36.0,340.66406257931703,26,59,1,133,True,19,43,160,127,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,-0.163055419921875,0.0869903564453125,0.0,2.0,36.0,344.1796875801356,26,56,18,131,True,20,44,169,127,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,0.5439605712890625,-0.071533203125,0.0,2.0,36.0,347.6953125809541,25,54,33,130,True,19,44,180,128,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,1.1926422119140625,-0.1724853515625,0.0,2.0,36.0,351.21093758177267,24,53,46,129,True,20,46,190,128,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,1.7805023193359375,-0.26397705078125,0.0,2.0,36.0,351.21093758177267,24,53,45,129,True,21,46,191,128,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,2.313262939453125,-0.346893310546875,0.0,2.0,36.0,351.21093758177267,25,54,43,129,True,21,47,191,128,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,2.7960662841796875,-0.422027587890625,0.0,2.0,36.0,351.21093758177267,25,55,40,129,True,21,48,192,128,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,3.233612060546875,-0.4901275634765625,0.0,2.0,36.0,351.21093758177267,26,57,37,130,True,22,49,193,129,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,3.6301422119140625,-0.5518341064453125,0.0,2.0,36.0,351.21093758177267,27,58,34,131,True,22,51,193,130,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,3.9894866943359375,-0.607757568359375,0.0,2.0,36.0,351.21093758177267,28,61,29,133,True,24,52,194,131,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,4.315155029296875,-0.658447265625,0.0,2.0,36.0,351.21093758177267,28,62,25,136,True,23,53,196,134,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,4.61029052734375,-0.704376220703125,0.0,2.0,36.0,351.21093758177267,29,65,19,139,True,25,55,197,136,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,4.87774658203125,-0.746002197265625,0.0,2.0,36.0,351.21093758177267,31,68,13,142,True,26,58,198,139,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,5.1201324462890625,-0.783721923828125,0.0,2.0,36.0,351.21093758177267,33,72,5,145,True,27,60,200,142,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,5.3397979736328125,-0.817901611328125,0.0,2.0,36.0,351.21093758177267,34,73,0,149,True,29,63,202,144,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,5.5388641357421875,-0.848876953125,0.0,2.0,36.0,351.21093758177267,36,68,0,152,True,30,67,204,147,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,5.719268798828125,-0.876953125,0.0,2.0,36.0,351.21093758177267,39,62,0,154,True,32,70,207,148,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,5.8827667236328125,-0.90240478515625,0.0,2.0,36.0,351.21093758177267,34,75,210,149,True,42,54,0,156,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.0309295654296875,-0.9254608154296875,0.0,2.0,36.0,351.21093758177267,36,80,213,150,True,46,46,0,156,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.1652069091796875,-0.9463653564453125,0.0,2.0,36.0,351.21093758177267,38,86,217,150,True,43,36,0,164,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.286895751953125,-0.965301513671875,0.0,2.0,36.0,351.21093758177267,42,94,222,149,True,29,33,0,171,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.3971710205078125,-0.9824676513671875,0.0,2.0,36.0,351.21093758177267,46,91,228,149,True,33,18,0,173,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.4971160888671875,-0.998016357421875,0.0,2.0,36.0,351.21093758177267,51,84,235,149,True,26,18,274,181,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.5876922607421875,-1.012115478515625,0.0,2.0,36.0,351.21093758177267,47,75,244,160,True,19,21,291,188,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.669769287109375,-1.0248870849609375,0.0,2.0,36.0,351.21093758177267,34,64,255,173,True,6,6,313,201,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.7441558837890625,-1.036468505859375,0.0,2.0,36.0,351.21093758177267,23,49,270,184,True,4,2,115,103,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,64.0,0.0,6.8115692138671875,-1.046966552734375,0.0,2.0,36.0,351.21093758177267,3,20,299,204,True,13,2,114,107,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,6.875640869140625,-1.0349578857421875,0.0,2.0,36.0,352.96875008218194,14,3,118,107,True,2,3,137,107,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,6.93603515625,-1.002471923828125,0.0,2.0,36.0,354.7265625825912,15,3,122,107,True,2,2,143,107,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,6.9924468994140625,-0.9513702392578125,0.0,2.0,36.0,356.4843750830005,18,4,126,105,True,1,4,146,108,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,7.0445556640625,-0.8833770751953125,0.0,2.0,36.0,358.24218758340976,18,4,130,106,True,2,3,151,108,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,64.0,0.0,7.092132568359375,-0.800567626953125,0.0,2.0,36.0,0.0,19,4,134,107,True,2,3,156,108,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,6.4272308349609375,-0.72552490234375,0.0,2.0,36.0,3.5156250008185452,23,5,143,103,True,1,4,165,109,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,5.824676513671875,-0.6575164794921875,0.0,2.0,36.0,7.0312500016370905,24,6,151,102,True,1,4,175,109,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,5.2786102294921875,-0.59588623046875,0.0,2.0,36.0,10.546875002455636,23,5,161,103,True,1,4,185,109,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,4.7837371826171875,-0.5400238037109375,0.0,2.0,36.0,10.546875002455636,26,7,159,100,True,2,4,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,4.3352508544921875,-0.489410400390625,0.0,2.0,36.0,10.546875002455636,26,7,158,100,True,2,2,186,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,3.9288177490234375,-0.44354248046875,0.0,2.0,36.0,10.546875002455636,27,8,157,99,True,2,2,186,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,3.56048583984375,-0.4019622802734375,0.0,2.0,36.0,10.546875002455636,26,7,157,99,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,0.0973663330078125,0.0,0.0,2.0,36.0,12.304687502864908,26,7,162,99,True,2,3,190,108,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,0.088226318359375,0.0,0.0,2.0,36.0,14.062500003274181,26,7,167,99,True,2,4,195,108,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,0.0799407958984375,0.0,0.0,2.0,36.0,15.820312503683454,26,7,172,99,True,2,4,200,108,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,64.0,0.0,0.0724334716796875,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0656280517578125,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0594635009765625,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,17.578125004092726,26,7,176,99,True,2,4,205,108,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,15.820312503683454,26,7,171,99,True,2,4,200,108,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,14.062500003274181,26,4,167,99,True,2,4,195,108,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,12.304687502864908,26,4,162,99,True,2,3,190,108,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50.0,64.0,0.0,0.0,0.0,0.0,2.0,36.0,10.546875002455636,26,5,156,99,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,26,7,156,96,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,26,7,156,96,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,14,7,156,103,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,14,7,156,103,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,14,7,156,103,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,14,7,156,103,True,2,3,185,108,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,14,7,156,103,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,64.0,0.0,0.0,0.0,0.0,3.0,36.0,10.546875002455636,11,8,156,107,True,2,3,185,108,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
